trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-65.14904881167229,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",30,0,-283.1105808154623,"{0: 12, 1: 3, 2: 10, 3: 1, 4: 4}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,5,-106.39445103456217,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 2}",1
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",35,0,-186.9305307831846,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-49.64196621220996,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,0,-103.67333331453261,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,11,-26.58310292068297,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-90.06537571664698,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,0,-172.31177634815162,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",35,12,-98.8797113037079,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-13.76289632917788,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",25,17,-57.748646267484254,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,0,-87.18722124494982,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",30,0,-263.24952680174295,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",25,0,-196.26214401095882,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,0,-44.23051497674139,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",25,0,-11.164395673090302,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",25,0,-48.274440897532735,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",25,0,-175.7909690701642,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",25,0,-142.77751282095826,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",25,11,-41.95504409025334,"{0: 6, 1: 5, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",20,0,-65.19585624807517,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",25,0,-69.69685709810788,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",20,0,-59.327566458011056,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.9753099120283327, 'e': 0.7788007830714049}",25,4,-98.48009857548664,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 1}",1
26,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",25,0,-152.0049038014006,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",20,0,-77.4275150713051,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.7557837414557255}",20,9,0.4785769753607092,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9714164644666048, 'e': 0.7482635675785653}",20,0,1.0616173683281453,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.7408182206817179}",20,0,-36.33888626106282,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.7334469562242892}",20,0,-110.72241198648771,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.9685065820791976, 'e': 0.7261490370736909}",30,0,-182.39596179246547,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.967538559589032, 'e': 0.7189237334319262}",20,10,-77.47280783369928,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.9665715046375066, 'e': 0.7117703227626097}",20,0,-70.9307869278985,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.9656054162575665, 'e': 0.7046880897187134}",30,0,-59.70846524041244,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.9646402934831231, 'e': 0.6976763260710311}",20,0,-101.92914318474519,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.6907343306373547}",20,0,-188.07681169288946,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
38,False,"{'a': 0.9627129408911995, 'e': 0.6838614092123558}",25,0,-115.55797424094278,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.9617507091463667, 'e': 0.6770568744981647}",25,0,-88.35887553097717,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",20,0,-15.889610112206189,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,0,-82.73724603975717,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150567}",20,0,-5.593993065355261,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-132.58846681005684,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",25,0,-43.570558466465855,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",30,0,-109.89720866410885,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",30,11,14.311682465745125,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",25,0,10.687936852601336,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,0,-85.86708470046855,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",20,0,-106.63878800161949,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-96.25786960633282,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.6004955788122659}",20,0,-26.625319481872374,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",30,0,-121.26316469361917,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",20,0,-65.29801501413411,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",25,0,-14.406459731970923,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",30,0,-85.63341238914128,"{0: 24, 1: 1, 2: 1, 3: 3, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",20,0,-117.47563275363628,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",35,21,-5.4150459956666195,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",25,7,-78.62646173229702,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",25,0,-51.671685334464634,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",20,0,-8.504862137138693,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.9408232397760098, 'e': 0.5433508690744998}",20,15,1.3098558927351363,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",20,14,4.466768962732935,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",20,0,-111.91920942855252,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",25,0,-64.38019228682708,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",30,0,-146.44606098517306,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",20,0,-96.08341663009935,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",20,0,-107.98130374110082,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",25,0,1.3847566664751931,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,0,-112.44775218176588,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",30,0,-21.528765030050756,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",30,12,-63.81111697338608,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",20,3,-10.406395046613142,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",20,0,-43.14263908149114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",25,8,-37.453524723054024,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",20,0,-62.43905038344572,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",30,21,-24.70228934268949,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,5,-19.96218471089026,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",30,9,-68.940314703873,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.9240399244450869, 'e': 0.45384479528235583}",20,0,-93.46897277787127,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",20,10,-5.168184231397817,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",30,0,-9.535177532207136,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,0,-25.533126408029883,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",25,11,2.56184071201483,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,0,-35.23017220250012,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",20,0,-30.92404083275681,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",25,0,8.89727015486153,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",25,9,26.95494461286813,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",30,0,-70.06213926605078,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.914845573574452, 'e': 0.4106557527523455}",20,13,0.8313636690561534,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",20,0,-43.44038883125228,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",30,15,-8.572480723774591,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
