trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.50600141555299,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.9370430020851,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.81779344551114,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.21847644276593,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.79219255925273,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.44297757805302,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.23079421505054,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.95933043408182,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.371599679211,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.32670003116559,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.00138129370131,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.850727018640015,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.98550942342365,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.29482797232407,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.68119892231024,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.02598405901749,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,17,-11.333474858679837,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.94270241733412,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.52491204141954,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.40748024458631,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 1.0}",35,0,-331.02416361140894,"{0: 15, 1: 7, 2: 5, 3: 3, 4: 5}",0
2,True,"{'a': 0, 'e': 1.0}",25,0,-180.49570900713894,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 1.0}",25,7,-74.5415813167183,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 0}",1
4,True,"{'a': 0, 'e': 1.0}",20,0,-113.90593368845406,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 1.0}",20,0,-56.12914439486885,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 1.0}",25,0,-139.38739611277475,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 1.0}",20,0,-79.92122342028317,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 1.0}",30,0,-82.229406136525,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 1.0}",20,0,-71.8326766941152,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 1.0}",20,0,-48.285413562213996,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
